JSON,CUTOFF,QUERY_ID,QUERY_TEXT,SKIP_TIME_NANO_SECONDS
crossref1_(551MB),512,14,$.items[*].reference[*].key,17463376.4
crossref1_(551MB),1024,14,$.items[*].reference[*].key,7678095.2
crossref1_(551MB),2048,14,$.items[*].reference[*].key,1805771.2
crossref1_(551MB),0,15,$.items[*].reference[*].author,230014523.2
crossref1_(551MB),64,15,$.items[*].reference[*].author,156400325.6
crossref1_(551MB),128,15,$.items[*].reference[*].author,100216000.8
crossref1_(551MB),256,15,$.items[*].reference[*].author,70632339.6
crossref1_(551MB),512,15,$.items[*].reference[*].author,16945257.6
crossref1_(551MB),1024,15,$.items[*].reference[*].author,7565104.6
crossref1_(551MB),2048,15,$.items[*].reference[*].author,1790839
crossref1_(551MB),0,16,$.items[*].reference[*].DOI,204830832.6
crossref1_(551MB),64,16,$.items[*].reference[*].DOI,147802420.4
crossref1_(551MB),128,16,$.items[*].reference[*].DOI,93655368.4
crossref1_(551MB),256,16,$.items[*].reference[*].DOI,45021851.2
crossref1_(551MB),512,16,$.items[*].reference[*].DOI,16748802
crossref1_(551MB),1024,16,$.items[*].reference[*].DOI,7643673.2
crossref1_(551MB),2048,16,$.items[*].reference[*].DOI,1799553.4
crossref1_(551MB),0,17,$.items[*].reference[*].year,208643968.4
crossref1_(551MB),64,17,$.items[*].reference[*].year,117154775.8
crossref1_(551MB),128,17,$.items[*].reference[*].year,58290212.2
crossref1_(551MB),256,17,$.items[*].reference[*].year,35521030.2
crossref1_(551MB),512,17,$.items[*].reference[*].year,16610881.6
crossref1_(551MB),1024,17,$.items[*].reference[*].year,7619382
crossref1_(551MB),2048,17,$.items[*].reference[*].year,1800351.8
crossref1_(551MB),0,18,$.items[*].reference[*].issue,156100264.4
crossref1_(551MB),64,18,$.items[*].reference[*].issue,99060242.8
crossref1_(551MB),128,18,$.items[*].reference[*].issue,54819753.4
crossref1_(551MB),256,18,$.items[*].reference[*].issue,39617449.2
crossref1_(551MB),512,18,$.items[*].reference[*].issue,16669676.2
crossref1_(551MB),1024,18,$.items[*].reference[*].issue,7575822
crossref1_(551MB),2048,18,$.items[*].reference[*].issue,1790388.6
